,label,content
2513,mostly-true,"Just in the past 10 years, college tuition has increased 28 percent."
2514,barely-true,"Gov. (Scott) Walker has yet to create a job, he gives away millions to his friends, and he raises taxes on working people."
2515,false,"Because of President Barack Obamas failure to push job creation, the black unemployment rate in Ferguson, Mo., is three times higher than the white unemployment rate."
2516,half-true,"70 percent of the people who voted on June 5, 2012, just didnt feel comfortable with the recall of the governor, weakening any idea that Wisconsin is fully behind this Walker agenda."
2517,pants-fire,"A sign in Dearborn, Mich., for the Advancement of Islamic Agenda for America says, Allah be praised. America we will kill you all and nothing you can do to stop it."
2518,pants-fire,Obama regime planned the influx of illegal alien children at the border.
2519,half-true,"134,000 (criminal) aliens have been released by the (Obama) administration in just the past two years."
2520,mostly-true,"Says if you are shot in the city of Newark, you have over an 80 percent chance that youve been arrested before an average of 10 times."
2521,barely-true,"When it comes to taking cuts in tough budget times, Wisconsin state workers havent had to sacrifice."
2522,barely-true,Says Donald Trump has been talking about the option of using a nuclear weapon against our Western European allies.
2523,mostly-true,McCain intervened on behalf of Charles Keating with federal regulators... that allowed Keating to continue his fraud at an incredible cost to taxpayers.
2524,false,Says the National Labor Relations Board told Boeing that it couldnt build a factory in South Carolina because South Carolina is a right-to-work state.
2525,true,"Since Newtown, more people have died at the end of a gun than we have lost in Afghanistan."
2526,false,"The Trump Winery near Charlottesville, Va. is the largest winery on the East Coast."
2527,true,Only 18 percent of jobs are accessible by transit for metro Atlanta residents. 33 percent for those living in the city.
2528,pants-fire,"Why would our president close the embassy to the Vatican? Hopefully, it is not retribution for Catholic organizations opposing Obamacare."
2529,true,"With those first principles, it allowed a fellow like me to get in his truck and go from one end of the state to the other; started 20 points down and wound up 20 points ahead on election night."
2530,half-true,I have the No. 1 show on NBC.
2531,barely-true,Says Judge JoAnne Kloppenburg agreed to use a technicality to give a convicted sex offender a new hearing because he didnt understand the charge.
2532,pants-fire,"According to a government supplier of emergency products, the Disaster Assistance Response Team was told to be prepared to be activated in the month of October for an outbreak of Ebola."
2533,true,That luxury jet was over the top. I put it on eBay.
2534,half-true,Thirty-five states have accepted high-speed intercity rail money.
2535,half-true,Says Hillary Clinton completely ignored dozens and dozens of requests for more security for the Benghazi consulate.
2536,half-true,There is no evidence to support the claim that Guantanamo is used as a recruiting tool for terrorists.
2537,barely-true,Says Obama has doubled the stock market from where we started when he was sworn into office
2538,false,On supporting the budget proposed by Rep. Paul Ryan
2539,barely-true,"When I became governor, I inherited a large deficit. You know what? We just turned that into the largest surplus in Virginia history."
2540,half-true,My support from young voters -- those 18 to 24 -- in November 2014 was largely unheard of for a Republican.
2541,pants-fire,Obamacarerepresents the largest tax increase in the history of the world.
2542,true,"John McCain opposed bankruptcy protections for families ""who were only in bankruptcy because of medical expenses they couldn't pay."""
2543,half-true,"Even a 100 percent tax on millionaires would only fund four months of government operations, failing to seriously address budget deficits and debt."
2544,mostly-true,Thousands of Westerners and Americans are fighting with extremists in eastern Syria and Iraq.
2545,false,Claims Supreme Court Justice Ruth Bader Ginsburg said she prefers the South African Constitution over the United States Constitution.
2546,mostly-true,Says Hillary Clinton was literally present when we pressed the reset button with Russia just a few months after Russia had invaded Georgia.
2547,true,Our national debt ... is on track to exceed the size of our entire economy ... in just two more years.
2548,half-true,I will keep taxes low and cut them where I can. My opponent will raise them.
2549,mostly-true,"The IRS filed an $11,000 lien against (Allen) West for back taxes. Three liens were placed on his home for unpaid bills, and a judge ordered West to pay over $5,000 for past due credit card bills."
2550,false,Says we could have saved ourselves the cost of building the Powell Butte water reservoir.
2551,half-true,Says he would have almost twice the actual experience practicing law Greg Abbott did on becoming attorney general of Texas.
2552,half-true,Gubernatorial candidate Maggie Hassan supported 33 tax and fee increases as Senate Majority Leader.
2553,false,Says challenger Dominic Chavez is a Rick Perry Republican lobbyist.
2554,true,"If you take into account all the people who are struggling for work, or have just stopped looking, the real unemployment rate is over 15 percent."
2555,true,A congressional laundry closed due to the partial government shutdown.
2556,half-true,"Says Scott Walker cut taxes for the wealthiest and raised taxes on 140,000 Wisconsin families."
2557,half-true,"If you work 40 hours a week at the proposed minimum wage of $10.10 an hour, you get out of poverty."
2558,half-true,"In one Colorado hospital, 50 percent of newborns tested had marijuana in their system."
2559,half-true,"Republicans included the Akin amendment in the Republican Party platform, which bans abortion, even for rape victims."
2560,false,"Says that under City Council Member Randi Shade, Austin had the highest city debt per person in Texas."
2561,true,Gross income tax receipts are exceeding the Administrations projections for this fiscal year prior to Sandy.
2562,true,"Because of a local version of Amendment 4, the taxpayers of St. Pete Beach have had to pay hundreds of thousands in legal bills."
2563,mostly-true,"Doctors, nurses, hospitals, even the pharmaceutical industry, (and) AARP say that health reform makes sense to do."
2564,pants-fire,Barack Obama loves Che Guevara.
2565,barely-true,Says Betty Sutton and House Democrats gutted Medicare by $741 billion to pay for Obamacare.
2566,half-true,One out of four corporations doesnt pay a nickel in (federal income) taxes.
2567,pants-fire,Were one of the only communities in the country that didnt lose population in the last census.
2568,half-true,I had five of my citizens that were killed last week because of border security problems.
2569,mostly-true,There were more job losses per month in the last three months under President Bush than in the past three months under President Obama.
2570,pants-fire,Says the U.S. election system is rigged.
2571,half-true,Oregon and the federal government now have more than one million acres of burnt land and millions of trees are being left to rot.
2572,pants-fire,This (Independent Payment Advisory Board) board can ration care and deny certain Medicare treatments so Washington can fund more wasteful spending.
2573,false,The cheerleaders for the Dallas Cowboys have entertained more troops in the world than Bob Hope.
2574,half-true,"Scary fact about our national debt. In 1791 it was $75 million. Today, it rises by that amount in about an hour."
2575,mostly-true,Says he earned the highest possible credit ratings as state treasurer.
2576,barely-true,"Fifteen years ago, you couldnt even get a pizza delivered in that neighborhood."
2577,barely-true,"Romneycare is a top-down, government-run health care system."
2578,true,The Capitol rotunda was actually made to invite the people in and to accommodate protests.
2579,barely-true,I said two years ago that the Fannie and Freddie thing was a very serious problem and we had to work on it.
2580,pants-fire,Says he has yet to get a response from Barack Obama to his August 2010 letter making border security requests.
2581,mostly-true,More preschoolers are shot dead each year than police officers are in the line of duty.
2582,half-true,The health care reform law reduces the deficit by nearly $1.2 trillion over the next two decades.
2583,barely-true,Says Hillary Clinton erased all of her emails even though they were subject to recall and review by Congress.
2584,false,"Over 214,000 doctors opt out of Obamacare exchanges."
2585,barely-true,The 2011-13 state budget cuts overall funding for public schools by $1.6 billion
2586,mostly-true,Americans havent had a raise in 15 years.
2587,false,Says a $12.5 million incentive deal she approved for Abbott Laboratories contained strong protections for taxpayers if job creation goals were not met.
2588,mostly-true,"We had bipartisan legislation that got through the Senate that would have prevented bonuses like AIG's ""and then somehow mysteriously disappeared."""
2589,true,The United States has one of the highest corporate tax rates in the world.
2590,mostly-true,"Barack (Obama) has one of his biggest supporters in terms of funding, the Exelon Corporation, which has spent millions of dollars trying to make Yucca Mountain the waste depository."
2591,pants-fire,Bill White is discriminating. Hes taking jobs from African Americans and giving them to his friends.
2592,false,A legacy of taxing and borrowing crippled the economy we inherited two years ago.
2593,mostly-true,The Arizona State Board of Educations failure to report teachers whose certifications have been revoked or suspended ... resulted in the death of a student.
2594,half-true,Law enforcement in the state of Arizona supports the state's new immigration law.
2595,true,"Charlie Crist ""bizarrely vetoed"" $9.7 million for a teaching hospital at the University of Florida ""despite having previously argued the budget request had merit."""
2596,barely-true,"Obama creates new tax on Christmas trees, fees get passed on to consumers."
2597,pants-fire,That 59 divisions in Philly had no votes for Romney in 2012 is (a) mathematical and statistical impossibility.
2598,mostly-true,About 70 percentof Republicans nationwide ...dont think Donald Trump is the right guy to take on Hillary Clinton in November.
2599,false,Says Barack Obama has gone from blaming George W. Bush to plagiarizing George W. Bush.
2600,barely-true,Women still earn about 77 cents for every dollar a man earns for working the same job.
2601,false,Donald Trump says all Mexicans are rapists.
2602,mostly-true,House Speaker Nancy Pelosi said this week that the Democrats have to pass their terrible health care bill so that the American people can actually find out what's in it.
2603,false,2008: Unions Spent $400 Million to Elect Obama.
2604,barely-true,Says Texas high school graduates must pass Algebra II to be eligible for automatic admission to states public universities.
2605,mostly-true,"Israel in the last three weeks haskilled more Palestinian children, more than 200, than the total number of Israeli soldiers killed in military operations since 2006."
2606,mostly-true,Our graduation rate is the highest it's ever been.
2607,barely-true,"Terrorist detainees were not covered by the Geneva Convention. They were unlawful combatants. And under those circumstances, they were not entitled to the normal kinds of courtesies and treatment."
2608,mostly-true,"Says Patrick Murphy supports a gun ban on commonly owned semi-automatic firearms used for hunting, recreational shooting and self defense."
2609,mostly-true,"There are many studies that indicate that the longer people get unemployment insurance, it provides some disincentive to work."
2610,false,"Says Mary Burkes 2007-09 state budget had a tax hike of $1.8 billion -- costing every man, woman and child in the state an extra $310."
2611,true,"Under current law, if you go on a dating website and you say youre 32 and youre actually 42, youve committed a misdemeanor."
2612,true,The proposed raises for the Norcross City Council would put it in line with other liked-sized communities.
2613,true,"There has never been a death caused by a [commercial nuclear] reactor in the United States, even when Three Mile Island failed in the 1970s."
2614,true,"Obama spent ""40 percent of the PAC money, 43 percent to be exact, on Iowa, New Hampshire, Nevada and South Carolina politicians."""
2615,mostly-true,"For the first time in history, my administration posts our White House visitors online."
2616,true,Says Texas ranks last in the percentage of residents with high school diplomas.
2617,false,The climate hasnt warmed in quite a few years. That is proven scientifically.
2618,true,Says Bruce Springsteen played in 1975 at Seton Hall University in South Orange at Walsh gym.
2619,half-true,"In the fall of 2009, only 21 percent of Texas high school graduates enrolled in a four-year public university."
2620,false,A North Carolina study proves that probably over a million people voted twice in (the 2012) election.
2621,false,Tarpon Springs takes its homeless to St. Petersburg.
2622,true,The overall fact about illegal immigration is that its not actually getting worse.
2623,barely-true,Says Hillary Clinton has been in office and in government longer than anybody else running here tonight.
2624,true,More people are apprehended after illegally crossing the U.S.-Mexico border a week than are born in Texas each week.
2625,true,"For more than 30 years after World War II, there was a steady reduction in U.S. debt as a percentage of gross domestic product."
2626,true,"While I was working on those streets watching those folks see their jobs shift overseas, you were a corporate lawyer sitting on the board at Wal-Mart."
2627,half-true,The United States sends $300 billion -- half our trade deficit -- overseas for oil to unstable and unfriendly regimes.
2628,half-true,Our population has grown from about 1 million in the 1970s to almost 7 million today.
2629,mostly-true,Says its estimated that 300 babies a year are sent home from the hospital with an unrecognized congenital heart defect; it is the most common birth defect in America.
2630,half-true,"Since President Obama took office, gas prices have gone up 67 percent."
2631,mostly-true,Rick Scott tried to slash school funding by $3.3 billion.
2632,pants-fire,The health care reform bill would make it mandatory absolutely require that every five years people in Medicare have a required counseling session that will tell them how to end their life sooner.
2633,barely-true,"Before Act 10, the total cost of public sector employees employment was 29 percent higher than that in the private sector. After the act, its still 22 percent higher."
2634,false,"When President Franklin D. Roosevelt started Social Security, it only affected widows and orphans, and when Medicare began, it was a small program."
2635,true,The deficit was on track to top $1 trillion the year I took office.
2636,half-true,We paid down the debt for four years -- paid down $600 billion on the national debt.
2637,half-true,A vast majority of the production in the United States comes from small independent oil and gas companies.
2638,mostly-true,"As part of legislative fights over abortion rights,Mike Coffman co-sponsored a bill to redefine rape."
2639,half-true,"An Army report stated Allen West performed illegal acts, merited court martial, faced 11 years in prison."
2640,mostly-true,"Says each year approximately 30,000 people in the United States die as a result of gunfire, and about 80,000 people are wounded."
2641,half-true,"In this city, there hasnt been a stadium thats lasted more than 27 years."
2642,mostly-true,"When he served as governor, Schwarzenegger preserved more land than any other gubernatorial administration in Californias history."
2643,half-true,"More people are driving under the influence of drugs than are driving under the influence of alcohol. A recent roadside survey showed that 16 percent of the people tested, tested positive for illicit or licit drugs. Thats significantly higher than alcohol."
2644,pants-fire,"Says Florida U.S. Reps. Corrine Brown, Alcee Hastings and Frederica Wilson are Socialists."
2645,mostly-true,Rep. Peter Petrarca voted on two pieces of legislation that helped auto body shops ... and at that point I think there is a conflict of interest.
2646,false,Says Hillary Clinton refuses to testify before Congress about the 2012 attack in Benghazi.
2647,false,Commerce Secretary nominee John Bryson appears to endorse world government.
2648,mostly-true,"Obama says McCain went to Bermuda and ""pledged to protect tax breaks for American corporations that hide their profits offshore."""
2649,mostly-true,Says Texas is last in mental health expenditures.
2650,false,Says Rob Portman even voted to allow people on the terrorism watch list to buy guns.
2651,mostly-true,Says the Obama Administration has fulfilled all of Texas requests for fire management assisting grants.
2652,mostly-true,Says federal debt doubled during the Bush administration.
2653,pants-fire,"The administration raises revenue for nationalized health care through a series of new taxes, including a light switch tax that would cost every American household $3,128 a year."
2654,mostly-true,Offshore wind power is significantly less expensive than solar energy.
2655,pants-fire,The Constitution simply does not authorize the federal government to own any of this land (in the Western states).
2656,mostly-true,"Says $800,000 cost of Texas special legislative session would pay for 1.6 million condoms, 90,000 months of the pill or 20 full-time sexual health educators."
2657,mostly-true,"(Deborah) Ross defends those who want to burn the American flag, and even called efforts to ban flag-burning ridiculous, yet refused to help a disabled veteran fly the flag."
2658,half-true,Texas agriculture is at 98 percent efficiency in water use and just about maxed out as to what we can do on the conservation end of it.
2659,mostly-true,An estimated 56 million Americans don't have bank accounts.
2660,half-true,Our president has labeled Americans as soft.
2661,false,ISIS leader Abu Bakr al Baghdadi was released by Obama in 2009.
2662,true,The NRA used to support expanded background checks.
2663,half-true,Going to public financing really disadvantages Democrats because you're not able to raise funds between the day you win the primaries and the time you're officially nominated.
2664,mostly-true,"[E]mployment in Gwinnett is up more than 3 percent over last year, and unemployment is the lowest of the five core metro counties."
2665,barely-true,The average minimum wage worker is 35 years old.
2666,pants-fire,Ive been outspent by my opponents every time Ive run for U.S. Senate.
2667,false,"In the history of Republican primaries, Ive gotten the most votes in the history of the Republican party."
2668,pants-fire,"The Massachusetts Supreme Court...defined marriage as simply, quote,the establishment of intimacy ... I guess that would mean if you really had affection for your horse, I guess you could marry your horse."
2669,barely-true,"The federal health care plan ""costs Texas taxpayers $2.4 billion per year."""
2670,false,"When the New Hampshire Legislature raised the gasoline tax, gas prices in the state were skyrocketing."
2671,mostly-true,Social Security didnt cause the debt crisis. Social Security had nothing to do with the debt crisis.
2672,true,Says that in the U.S. House of Representatives weve had bipartisan support for the repeal of Obamacare for getting rid of cap and trade for building the Keystone Pipeline.
2673,false,"We will spend $100 billion in Afghanistan this year, fixing roads, building bridges, training police officers, and more, [and] cutting the same things in our own country."
2674,barely-true,The war in Iraq was a major factor in blowing the top off the price of oil.
2675,barely-true,This type of mass violence does not happen in other advanced countries. It doesnt happen in other places with this kind of frequency.
2676,pants-fire,Says Mitt Romney did not pay taxes for 10 years.
2677,barely-true,"A ""massive"" federal computer network will make your medical records available to ""millions of people"" with a ""complete lack of privacy and confidentiality,"" while doctors and hospitals who don't take part face ""stiff penalties."""
2678,true,Wrong precinct rules exacerbate our provisional ballot problems (and) HB 194 does nothing to solve the wrong-precinct problem.
2679,true,Says Donald Trump used undocumented labor to build the Trump Tower.
2680,pants-fire,Says Gov. Scott Walker has been rated Americas most factually-challenged politician.
2681,true,Sharron Angle would eliminate the Department of Education.
2682,mostly-true,An illegal immigrant who gains admission at a public college takes class space away from students who are legal residents.
2683,false,On whether BPs $20 billion fund to compensate oil spill victims is a slush fund.
2684,false,On in-state tuition for illegal immigrants.
2685,pants-fire,Says Jacky Rosen has refused to tell us whether she supports Bernie Sanders or Hillary Clinton.
2686,true,The five economic indicators that the federal government tracks - for the first time since August 2006 - were positive this October.
2687,half-true,Medicare has at least $80 billion worth of fraud a year. That's a full 20 percent of every dollar that's spent on Medicare goes to fraud.
2688,barely-true,"In slashing $1.7 billion from Social Security, Rep. Jim Renacci may end up forcing the entire agency to ... shut down for a month, causing seniors to not get their benefits on time, halting claims processing, and forcing new retirees and disabled workers into a backlog."
2689,barely-true,"Says Sen. Bill Nelson voted to spend $144,541 to see how monkeys react under the influence of cocaine."
2690,false,What were the old annual deficits under Republicans have now become the monthly deficits under Democrats.
2691,mostly-true,Says(President) Reagans second inaugural was moved inside the Capitol. It was. Because of a terrible snowstorm.
2692,true,"Says a poll shows that without a name attached, Democrats are just one point behind Gov. John Kasich."
2693,half-true,There were more people at the Air and Space Museum than at a rally against the health care bills.
2694,half-true,People for the Ethical Treatment of Animals estimates 200 animals will be spared annually as the result of former President Bill Clinton adopting a vegan diet.
2695,pants-fire,Says Texas did not bail out a loan program he oversaw as state agriculture commissioner.
2696,false,We spend almost twice as much per capita on health care as do the people of any other country.
2697,false,On repealing the 17th Amendment
2698,half-true,"Says Bruce Starr voted to throw 6,000 Oregonians off unemployment."
2699,half-true,We need to pass a carbon tax to stop climate change. Break up the Wall Street banks. And stop the government spying on innocent Americans. Cory Booker doesnt support any of these ideas.
2700,pants-fire,"Says while serving in the city council, Rachel Zenzinger voted to use tax dollars to take a taxpayer-funded junket to China."
2701,mostly-true,"The governor is trying to take credit for recent actions taken by these companies. The problem is that for all three companies, the decision to move or stay in New Jersey happened before Chris Christie became governor."
2702,true,My property taxes went down largely because my technical college portion went down 35.5% because of the money we put in at state.
2703,half-true,"Says more than 1 million Texans are jobless, the state has its highest unemployment rate in more than 20 years and joblessness doubled on Rick Perrys watch."
2704,mostly-true,"He has asked for $932-million of earmark pork-barrel spending, nearly a million dollars for every day that hes been in the United States Senate."
2705,mostly-true,"Canada ""does spills into their water to practice in the event that this would happen. That is not allowed in the United States."""
2706,false,"Lots of studies seem to indicate that minors find it very easy to get marijuana, easier than to get alcohol."
2707,mostly-true,"The geography of poverty has changed fundamentally in the last 15 years, with more of it concentrated in fragile and conflict states."
2708,half-true,"Russia has tremendous numbers of nuclear warheads 1,800, by the way where they expanded, and we didnt."
2709,mostly-true,"For every dollar we invest in Head Start, we get $5 to $7 back into our economy."
2710,false,Says President Obamas decision to not issue a permit for the Keystone XL pipeline meant we were denied the ability immediately to reduce prices at the pump.
2711,true,Says she is the subject of 60 books.
2712,half-true,Seven out of the 10 states with the lowest unemployment rates (have) Republican governors That approach that Republicans are using is working.
2713,true,"In writing his book, Gov. Perry pointed out that by any measure Social Security has been a failure."
2714,pants-fire,The stimulus created zero jobs.
2715,false,The health care law reduces the number of uninsured in America by 3 percent for how much money? $2 trillion.
2716,false,We import more oil today than ever before.
2717,true,"Will Hurd tends to have a 96 percent straight Republican, straight party voting record."
2718,mostly-true,Says Chris Christie vetoed Planned Parenthood funding five times over the course of his governorship.
2719,true,Greece is not a big economy. Its about the size of metropolitan Miami.
2720,mostly-true,Ive cut the budget of the (lieutenant governors) office by more than half.
2721,true,Forty cents of every dollar being spent by the federal government is being borrowed from my children.
2722,true,Cigarette butts poison babies and small children because of the nicotine in them.
2723,barely-true,"One of the things I would immediately do is bring back the warrior class -- Petraeus, McChrystal, Mattis, Keane, Flynn. ... Every one was retired early because they told President Obama things that he didnt want to hear."
2724,pants-fire,"Says under his budget-repair bill, collective bargaining is fully intact."
2725,true,"Since I took office, over 319,000 new private sector jobs have been created in Georgia with nearly 93,000 of those coming in the past 12 months."
2726,mostly-true,And it's going to be difficult for us to do this as long as we're spending $275 million a day on a war that should have never been authorized...
2727,half-true,"Today in Selma, Ala., the poverty rate is roughly nine times that of whites."
2728,false,Says President Obama was proposing pinprick strikes for military intervention in Syria.
2729,false,Says there are no political prisoners in Cuba.
2730,pants-fire,Says Illinois Democrat David Gill would end Medicare.
2731,true,"First, he said he would leave residual forces in Iraq, and now he says he wouldn't."
2732,half-true,Says last year the graduation rate for our combined six-district footprint jumped 5.5 percent.
2733,mostly-true,"President Obama's own director of national intelligence, Admiral Blair, put it this way: 'High-value information came from interrogations in which those methods were used and provided a deeper understanding of the al-Qaida organization that was attacking this country.'"
2734,mostly-true,"When he (Donald Trump) asked Florida to have casino gambling, we said no."
2735,half-true,Milwaukee police use deadly force at a rate that is among the lowest in the country.
2736,true,"When Sen. Edwards ran in 2004, he wasn't for universal health care. I'm glad he is now."
2737,mostly-true,Says Barbara Buono voted to raise her own pay 40 percent.
2738,barely-true,Says Texas has the most uninsured people of any state -- 6 million.
2739,mostly-true,Ill be running against a career politician.
2740,true,Says Multnomah County libraries are open 44 hours per week the lowest of any library in the four-county region.
2741,true,Says Mike Huckabee appeared in diabetes infomercials to endorse cures and treatments that no health agency supports.
2742,false,"Says EPA regulation of greenhouse gases will endanger 575 Texas dairy facilities, 58 swine operations, 1,300 corn farms and 28,000 beef cattle operations."
2743,pants-fire,Facebook has unveiled new rules to stop their users from creatingposts related in any way to religion.
2744,pants-fire,"The Democrats are very sly. (in New Hampshire) we have same day voter registration, and to be honest, when Massachusetts elections are not very close, theyre busing them in all over the place."
2745,half-true,California has added twice as many jobs as Florida over the past year.
2746,mostly-true,"In the past two years in Congress, Ive written more bills, passed more amendments on the floor of the House and enacted more of my bills into law than any other member of the House."
2747,barely-true,"Says Travis County Commissioner Gerald Daugherty claims to have taken a pay cut, but for 2016, he voted to raise his salary by 19.6 percent."
2748,false,"The Employment Non-Discrimination Act discriminates against Christian daycare, Christian parents, Christian business owners, and the rights of religious freedom."
2749,true,"Now, I also support the Bush tax cuts. Sen. McCain voted against them originally. He now believes they should be made permanent. I'm glad he agrees they should be made permanent."
2750,mostly-true,Irans defense budget is $30 billion. Our defense budget is closer to $600 billion.
2751,half-true,Brookhaven homeowners pay hundreds of dollars less in property taxes compared with owners of the same-value homes in unincorporated DeKalb County.
2752,true,The mosquito population in South Florida is larger than it is in many other communities in the country.
2753,half-true,Says health insurance premiums will rise under Obamacare.
2754,mostly-true,"Says Erv Nelson voted yes on the pro-amnesty SJR 21, a bill urgingCongress to provide citizenship for those residing illegally in our country."
2755,mostly-true,Virginia is the number one state per capita in screening out people with mental illness from gun purchases.
2756,half-true,Missouri is the state with the lowest paid workers.
2757,mostly-true,"The average student loan debt in Texas is over $22,000...the cost of an average size pickup truck. But unlike car owners, students are not allowed to refinance their loans at lower rates."
2758,mostly-true,Says Rick Scotts proposal for election reform only mandates 48 hours of early voting.
2759,half-true,On whether the state should ramp up borrowing to build roads.
2760,mostly-true,People think AIDS is done --its not done.
2761,half-true,Electricity rates are 40 percent higher in states that have required utility companies to use a certain amount of renewable energy such as solar power.
2762,mostly-true,"South Carolina has a labor shortage, specifically in the meatpacking industry."
2763,true,"When the City and the Fairmount Park Conservancy invested $5 million in Hunting Park, crime went down 89 percent within a half mile radius of the park over the next three years."
2764,mostly-true,"On day one, six people were able to sign up for health insurance through the federal marketplace."
2765,true,Lets start with the premise that Rhode Island already has one of the 10 strictest [gun laws] amongst all the states.
2766,barely-true,"Says that in her speech to the pro-Israel group AIPAC, Hillary Clinton had one line on the Palestinian people."
2767,true,"Says in our region, 2011 was worst drought year ever recorded."
2768,false,"In the 1980s, The lowest income people had the biggest gains."
2769,half-true,Florida has issued more than 3 million conceal carry permits in the past 30 years. Only 168 have been revoked.
2770,false,"For every one job created under the Obama administration, 75 people went on food stamps."
2771,barely-true,"Says that after she declared her candidacy for Congress, the redistricting process was manipulated to allow incumbent politicians to guarantee their re-election."
2772,half-true,Says Chris Koster opposes right-to-work efforts because he has taken $8 million from union bosses.
2773,half-true,Says Bush Jr. handed Obama a $1.4 trillion deficit and Obama reduced Bush Jr.s deficit to just $492 billion.
2774,half-true,Says President Barack Obama made unilateral changes to Obamacare 38 times.
2775,barely-true,Broward Countys unemployment rate of 5.3 percent is the lowest in Florida.
2776,half-true,Obamacare could force thousands of volunteer fire stations to cut service or close entirely!
2777,barely-true,The Wisconsin Retirement System for public employees is a self-funded pension plan and its the money of the workers that funds it.
2778,barely-true,Ninety-five percent of the money used for union-operated worker training centers comes from employers.
2779,true,"If we got solar energy from an area of the Southwestern desert 100 miles on a side, that would be enough, in and of itself, to provide 100 percent of all the electricity needs for the United States of America in a full year."
2780,barely-true,"I helped pass what, if enacted, would be the largest tax cut in Texas history through the State Senate."
2781,barely-true,"Under Ryan plan,those 54 and younger would receive the same kind of healthcare options now enjoyed by members of Congress."
2782,true,Says Bernie Sanders was there when it came to (same-sex) marriage 20 years ago. ... He was there when it wasnt popular.
2783,mostly-true,David Dewhurst is the first lieutenant governor in history to have a personal security detail.
2784,false,The administration has issued rules for $1 abortions in ObamaCare and requires all persons enrolled in insurance plans that include elective abortion coverage to pay an abortion premium.
2785,barely-true,Overwhelming Democrat and Republican votes in 2011 for legislation in two special sessions on jobs demonstrated the bipartisan nature of the Wisconsin Legislature.
2786,false,Says Gov. Rick Perry has never held a private-sector job.
2787,barely-true,Says President Obama promised hed keep unemployment below 8 percent if the stimulus passed.
2788,half-true,Says Indiana Gov. Mike Pence advocated diverting taxpayer dollars to so-called conversion therapy.
2789,half-true,"Says Ted Cruz has pledged to eliminate the U.S. Department of Education, which would end federal aid to college students."
2790,mostly-true,We are in the bottom 10 in dollars in the classroom and the top 10 in dollars in the bureaucracy and red tape.
2791,barely-true,"With 320,000 net Ohio manufacturing jobs lost, (Sen. Rob) Portman calls NAFTA a proven success."
2792,mostly-true,Kathryn Starkey only attended half of those meetings.
2793,false,Illegal immigration costs state taxpayers over $3 billion every year.
2794,false,"Says a liberal immigration reform group endorsed his GOP primary opponent, Dave Brat."
2795,false,Welders make more money than philosophers.
2796,true,Teddy Roosevelt first called for (health care) reform nearly a century ago.
2797,barely-true,Says Mike Dovilla supports a plan that could allow a foreign corporation to take over the Ohio Turnpike 
2798,true,"Charlie Crist broke the quarter ""record for fundraising in a U.S. Senate race in Florida."""
2799,barely-true,The Murray-Ryan deal is the first divided-government budget agreement since 1986.
2800,false,The American people spoke pretty loudly. They said stop all the looming tax hikes....
2801,false,"For the hour after the (Jan. 14) debate, Debra Medina was the No. 1 search on Google and for the remainder of that night No. 3."
2802,half-true,"Says state budget deal between Texas House and Senate leaders funds nursing homes, our public schools and universities and provides financial aid for college students."
2803,true,"When (John) Brennan ... was asked directly Is there any geographic limitation to your drone strike program? Brennan responded and said, no, there is no limitation."
2804,true,"Says Time magazine called him ""one of America's best governors."""
2805,true,On supporting the Supreme Court abortion decision Roe v. Wade
2806,false,After four years of a celebrity president 85% (of recent college grads are) moving back in with their parents.
2807,barely-true,Hispanic unemployment has been ticking down from an all-time high of 13.9 percent because of the policies weve implemented.
2808,half-true,Says Rick Perry co-chaired Al Gores campaign for president.
2809,false,I was totally against the war in Iraq.
2810,true,"There have been literally hundreds of new tax preferences and loopholes added to the code since 1986, last time we did this."
2811,false,Says Suzanne Bonamici supports the $500 billion cut to Medicare passed last year.
2812,barely-true,Gas will reach $4 a gallon under a cap-and-trade plan.
2813,barely-true,Were losing as many people to heroin and opioid overdoses as we lost to the AIDS epidemic at its peak.
2814,half-true,Says Democratic Senate candidate Bruce Braley voted to cut $700 billion from Medicare to support Obamacare.
2815,half-true,Preventive care coverage under the Affordable Care Act has already helped Granite Staters save money and live healthier lives.
2816,barely-true,Says 25 percent of U.S. Muslims agreed that violence against Americans here in the United States is justified as a part of the global jihad.
2817,false,"1928 was last time Republicans had the White House, the House and the Senate."
2818,false,Hillary Clinton and Barack Obama want to raise taxes on all income brackets.
2819,false,U.S. Sen. Saxby Chambliss votes more with Democrats than with conservatives.
2820,true,"For the second quarter in a row, my campaign has raised more money than any other challenger in the nation and brought our fundraising total to over $800,000."
2821,barely-true,Says the recall elections that aimed to remove him and other Republican officials from office cost tens of millions of dollars to run.
2822,mostly-true,"In Wisconsin, only half of all the adults with serious psychological distress received mental health treatment or medication."
2823,true,She stood by ground zero workers who sacrificed their health after so many sacrificed their lives and kept standing till this administration took action.
2824,pants-fire,"On gift taking,Bob McDonnell took a fraction of what (Tim) Kaine took."
2825,false,This is the first time since World War II that five nuclear-powered aircraft carriers were docked together.
2826,mostly-true,"While Exxon Mobil has 40 pages on its media response strategy, its plan for resource protection is only five pages long and its plan for oil removal is just nine pages long."
2827,barely-true,"By voting to approve [Question 1], we can . . . save 900 jobs at Twin River."
2828,barely-true,There hasnt been a Republican in the legislature or the City Council in Providence in over 30 years.
2829,half-true,Ive never voted for a Democrat when there was a Republican on the ballot.
